game_id,home_flag,team_id,abb,wins,loss,wl%,asts,rebs,orebs,tovs,fga,fg%,2pa,2p%,3pa,3p%,fta,ft%,pfs,pts,ref1,ref2,ref3,net_score,won
0020900253,0,1610612738,BOS,14,4,0.778,24,38,8,17,66,0.545,49,0.53,17,0.588,29,0.897,25,108,1203,1204,2005,18,1
0020900253,1,1610612766,CHA,7,10,0.412,13,34,14,11,79,0.405,68,0.441,11,0.182,35,0.686,22,90,1203,1204,2005,-18,0
0020900254,0,1610612764,WAS,7,12,0.368,20,43,11,10,84,0.476,66,0.515,18,0.333,32,0.625,21,106,1200,1664,2878,4,1
0020900254,1,1610612761,TOR,6,10,0.375,19,50,13,16,84,0.429,63,0.445,21,0.381,27,0.815,27,102,1200,1664,2878,-4,0
0020900255,0,1610612756,PHX,4,14,0.222,18,40,12,17,77,0.455,60,0.517,17,0.235,32,0.781,20,99,1199,2001,200834,-27,0
0020900255,1,1610612752,NYK,14,4,0.778,31,50,19,10,95,0.495,64,0.516,31,0.452,27,0.667,24,126,1199,2001,200834,27,1
0020900256,0,1610612744,GSW,13,5,0.722,15,33,10,14,94,0.436,68,0.514,26,0.231,24,0.792,24,107,1155,101284,201246,-28,0
0020900256,1,1610612743,DEN,6,11,0.353,30,57,18,15,95,0.547,81,0.605,14,0.214,32,0.875,24,135,1155,101284,201246,28,1
0020900257,0,1610612748,MIA,10,7,0.588,24,34,6,9,75,0.533,58,0.568,17,0.412,27,0.741,25,107,1159,1162,2714,7,1
0020900257,1,1610612757,POR,12,8,0.6,20,49,21,11,87,0.391,67,0.388,20,0.4,32,0.75,23,100,1159,1162,2714,-7,0
0020900258,0,1610612740,NOH,14,3,0.824,27,38,8,15,86,0.477,65,0.57,21,0.19,15,0.867,26,99,1161,1164,2715,-11,0
0020900258,1,1610612747,LAL,7,11,0.389,26,34,2,16,73,0.521,51,0.628,22,0.273,33,0.848,14,110,1161,1164,2715,11,1
0020900259,0,1610612761,TOR,13,5,0.722,25,29,8,9,82,0.512,66,0.485,16,0.625,34,0.618,24,115,2001,1192,2532,-31,0
0020900259,1,1610612737,ATL,7,13,0.35,37,51,15,9,88,0.591,67,0.612,21,0.524,39,0.795,26,146,2001,1192,2532,31,1
0020900260,0,1610612756,PHX,13,5,0.722,21,41,11,16,80,0.4,57,0.386,23,0.435,21,0.762,15,90,1154,2002,2716,-17,0
0020900260,1,1610612739,CLE,14,5,0.737,29,51,15,10,93,0.484,71,0.549,22,0.273,16,0.688,18,107,1154,2002,2716,17,1
0020900261,0,1610612752,NYK,4,15,0.211,15,36,13,18,84,0.464,60,0.483,24,0.417,21,0.762,23,104,1147,1198,1662,-14,0
0020900261,1,1610612753,ORL,15,4,0.789,26,46,12,18,78,0.551,48,0.687,30,0.333,30,0.733,22,118,1147,1198,1662,14,1
0020900262,0,1610612749,MIL,7,10,0.412,23,36,6,9,95,0.442,68,0.485,27,0.333,12,0.75,27,102,1174,1201,2882,-2,0
0020900262,1,1610612764,WAS,9,8,0.529,21,42,3,17,70,0.543,60,0.584,10,0.3,34,0.735,18,104,1174,1201,2882,2,1
0020900263,0,1610612742,DAL,14,5,0.737,29,42,10,18,75,0.587,57,0.632,18,0.444,25,0.84,24,117,1146,1194,1204,16,1
0020900263,1,1610612751,NJN,0,18,0.0,18,28,7,13,77,0.442,59,0.475,18,0.333,32,0.844,16,101,1146,1194,1204,-16,0
0020900264,0,1610612765,DET,7,9,0.438,17,40,17,15,78,0.385,62,0.42,16,0.25,31,0.677,28,85,1189,1190,1193,-7,0
0020900264,1,1610612741,CHI,6,12,0.333,24,41,12,17,69,0.478,60,0.483,9,0.444,30,0.733,27,92,1189,1190,1193,7,1
0020900265,0,1610612763,MEM,7,12,0.368,18,34,7,9,75,0.453,58,0.482,17,0.353,32,0.719,18,97,2003,2530,200833,2,1
0020900265,1,1610612750,MIN,2,16,0.111,21,39,7,14,74,0.5,64,0.516,10,0.4,25,0.68,28,95,2003,2530,200833,-2,0
0020900266,0,1610612755,PHI,10,8,0.556,16,29,7,15,74,0.5,51,0.451,23,0.609,19,0.947,22,106,1148,1153,2148,-11,0
0020900266,1,1610612760,OKC,5,14,0.263,25,43,18,14,85,0.506,61,0.508,24,0.5,23,0.826,16,117,1148,1153,2148,11,1
0020900267,0,1610612754,IND,9,8,0.529,12,49,22,18,92,0.435,70,0.472,22,0.318,25,0.72,26,105,1195,1168,200832,-5,0
0020900267,1,1610612758,SAC,6,10,0.375,28,39,10,19,81,0.506,63,0.508,18,0.5,25,0.76,23,110,1195,1168,200832,5,1
0020900268,0,1610612745,HOU,8,11,0.421,20,38,11,18,75,0.507,52,0.5,23,0.522,17,0.824,18,102,1152,2714,201245,17,1
0020900268,1,1610612746,LAC,10,8,0.556,18,36,10,15,75,0.453,61,0.541,14,0.071,19,0.842,16,85,1152,2714,201245,-17,0
0020900269,0,1610612738,BOS,15,4,0.789,22,32,2,12,78,0.462,60,0.534,18,0.222,19,0.737,20,90,1142,1363,1830,7,1
0020900269,1,1610612759,SAS,9,7,0.562,20,55,20,18,88,0.42,72,0.486,16,0.125,17,0.412,23,83,1142,1363,1830,-7,0
0020900270,0,1610612748,MIA,14,5,0.737,15,45,14,10,82,0.427,64,0.453,18,0.333,31,0.645,26,96,1176,1179,2715,-18,0
0020900270,1,1610612743,DEN,10,8,0.556,20,41,10,11,76,0.474,59,0.458,17,0.529,43,0.767,23,114,1176,1179,2715,18,1
0020900271,0,1610612745,HOU,6,12,0.333,28,49,13,23,82,0.488,59,0.543,23,0.348,29,0.793,21,111,1195,1168,1159,2,1
0020900271,1,1610612744,GSW,11,8,0.579,29,37,10,17,91,0.451,68,0.442,23,0.478,20,0.8,25,109,1195,1168,1159,-2,0
0020900272,0,1610612761,TOR,7,11,0.389,25,49,14,17,91,0.451,66,0.485,25,0.36,23,0.783,28,109,2534,1188,1194,2,1
0020900272,1,1610612764,WAS,8,13,0.381,18,52,19,9,95,0.368,66,0.378,29,0.345,34,0.794,22,107,2534,1188,1194,-2,0
0020900273,0,1610612752,NYK,13,6,0.684,25,38,7,12,78,0.577,53,0.642,25,0.44,20,0.65,21,114,1148,1154,2148,7,1
0020900273,1,1610612737,ATL,5,15,0.25,21,42,18,6,90,0.456,67,0.553,23,0.174,29,0.724,16,107,1148,1154,2148,-7,0
0020900274,0,1610612741,CHI,7,10,0.412,20,42,12,11,78,0.423,69,0.406,9,0.556,20,0.8,25,87,1174,1664,2882,-14,0
0020900274,1,1610612739,CLE,14,5,0.737,27,44,17,11,76,0.513,58,0.569,18,0.333,31,0.548,14,101,1174,1664,2882,14,1
0020900275,0,1610612749,MIL,7,12,0.368,23,30,3,9,83,0.434,53,0.491,30,0.333,19,0.737,28,96,1151,1200,201639,-9,0
0020900275,1,1610612765,DET,9,9,0.5,28,46,5,20,68,0.574,54,0.649,14,0.286,33,0.697,22,105,1151,1200,201639,9,1
0020900276,0,1610612742,DAL,14,6,0.7,21,46,18,15,91,0.352,62,0.388,29,0.276,10,1.0,15,82,1153,1662,200834,-16,0
0020900276,1,1610612763,MEM,8,12,0.4,17,46,14,14,85,0.459,68,0.442,17,0.529,15,0.733,13,98,1153,1662,200834,16,1
0020900277,0,1610612766,CHA,7,11,0.389,19,51,10,18,73,0.452,57,0.456,16,0.438,30,0.6,19,91,1147,2001,2716,-6,0
0020900277,1,1610612751,NJN,1,18,0.053,20,39,10,7,87,0.391,72,0.403,15,0.333,29,0.828,23,97,1147,2001,2716,6,1
0020900278,0,1610612750,MIN,2,17,0.105,23,50,16,17,85,0.424,71,0.409,14,0.5,16,0.625,21,89,1192,2002,201638,-9,0
0020900278,1,1610612740,NOH,8,11,0.421,28,40,7,16,78,0.5,57,0.544,21,0.381,21,0.571,17,98,1192,2002,201638,9,1
0020900279,0,1610612738,BOS,10,9,0.526,24,40,9,16,69,0.565,52,0.577,17,0.529,24,0.75,19,105,1164,1146,200833,18,1
0020900279,1,1610612760,OKC,16,4,0.8,11,30,6,16,68,0.471,51,0.569,17,0.176,26,0.769,22,87,1164,1146,200833,-18,0
0020900280,0,1610612754,IND,11,7,0.611,20,38,3,16,68,0.397,41,0.464,27,0.296,34,0.735,26,87,1162,2530,1159,-9,0
0020900280,1,1610612762,UTA,6,11,0.353,29,53,14,16,85,0.435,69,0.463,16,0.313,27,0.63,27,96,1162,2530,1159,9,1
0020900281,0,1610612748,MIA,15,3,0.833,21,47,14,12,76,0.487,63,0.492,13,0.462,42,0.643,25,107,2529,101284,1155,-1,0
0020900281,1,1610612747,LAL,10,9,0.526,19,43,18,7,93,0.43,76,0.46,17,0.294,28,0.821,26,108,2529,101284,1155,1,1
0020900282,0,1610612755,PHI,5,15,0.25,19,41,14,13,91,0.429,72,0.431,19,0.421,26,0.731,18,105,1152,1664,101283,-1,0
0020900282,1,1610612766,CHA,8,11,0.421,24,44,11,17,78,0.487,61,0.475,17,0.529,26,0.808,22,106,1152,1664,101283,1,1
0020900283,0,1610612761,TOR,7,11,0.389,27,53,18,13,83,0.482,62,0.532,21,0.333,26,0.885,22,110,1662,201640,1161,32,1
0020900283,1,1610612741,CHI,9,13,0.409,15,32,11,14,77,0.39,57,0.457,20,0.2,24,0.583,22,78,1662,201640,1161,-32,0
0020900284,0,1610612762,UTA,3,17,0.15,28,36,12,14,86,0.5,70,0.586,16,0.125,17,0.765,19,101,2005,201637,1203,-7,0
0020900284,1,1610612750,MIN,11,8,0.579,19,41,8,13,77,0.571,68,0.588,9,0.444,24,0.667,19,108,2005,201637,1203,7,1
0020900285,0,1610612743,DEN,9,8,0.529,13,38,11,14,79,0.481,70,0.486,9,0.444,33,0.788,22,106,1164,1146,1189,7,1
0020900285,1,1610612759,SAS,15,5,0.75,16,31,5,19,70,0.471,49,0.53,21,0.333,31,0.839,23,99,1164,1146,1189,-7,0
0020900286,0,1610612737,ATL,14,6,0.7,16,50,16,8,89,0.36,76,0.395,13,0.154,22,0.636,22,80,1142,1193,1363,5,1
0020900286,1,1610612742,DAL,14,7,0.667,18,46,7,16,67,0.373,43,0.395,24,0.333,24,0.708,20,75,1142,1193,1363,-5,0
0020900287,0,1610612758,SAC,15,5,0.75,18,48,18,10,90,0.433,67,0.447,23,0.391,29,0.69,25,107,1830,2003,201245,-8,0
0020900287,1,1610612756,PHX,9,9,0.5,15,43,17,9,88,0.432,64,0.422,24,0.458,34,0.824,21,115,1830,2003,201245,8,1
0020900288,0,1610612745,HOU,11,9,0.55,16,35,11,8,77,0.442,60,0.501,17,0.235,23,0.739,22,89,1201,2529,2530,-1,0
0020900288,1,1610612757,POR,13,8,0.619,12,37,6,12,67,0.478,55,0.51,12,0.333,26,0.846,27,90,1201,2529,2530,1,1
0020900289,0,1610612753,ORL,6,13,0.316,25,38,7,16,74,0.527,48,0.562,26,0.462,41,0.878,29,126,1162,2714,2878,8,1
0020900289,1,1610612744,GSW,16,4,0.8,24,32,10,15,89,0.472,74,0.514,15,0.267,36,0.833,28,118,1162,2714,2878,-8,0
0020900290,0,1610612754,IND,6,12,0.333,19,34,4,20,72,0.375,51,0.431,21,0.238,19,0.684,27,72,1176,1179,1204,-16,0
0020900290,1,1610612746,LAC,9,11,0.45,15,58,19,21,83,0.349,67,0.373,16,0.25,31,0.839,21,88,1176,1179,1204,16,1
0020900291,0,1610612751,NJN,1,19,0.05,23,33,8,14,81,0.494,65,0.539,16,0.313,15,0.8,26,97,1151,1174,2004,-9,0
0020900291,1,1610612752,NYK,6,15,0.286,20,48,15,15,77,0.468,62,0.484,15,0.4,34,0.824,15,106,1151,1174,2004,9,1
0020900292,0,1610612739,CLE,15,5,0.75,21,48,8,18,74,0.473,64,0.453,10,0.6,27,0.926,19,101,1148,1194,2148,15,1
0020900292,1,1610612749,MIL,9,10,0.474,11,38,11,12,93,0.376,73,0.424,20,0.2,16,0.75,21,86,1148,1194,2148,-15,0
0020900293,0,1610612764,WAS,8,12,0.4,15,41,12,17,78,0.436,57,0.491,21,0.286,23,0.87,27,94,1192,2005,2532,-4,0
0020900293,1,1610612765,DET,7,12,0.368,22,41,15,11,82,0.427,62,0.5,20,0.2,36,0.667,23,98,1192,2005,2532,4,1
0020900294,0,1610612748,MIA,9,10,0.474,30,33,6,13,70,0.586,51,0.667,19,0.368,31,0.839,21,115,1201,1200,2878,13,1
0020900294,1,1610612758,SAC,11,9,0.55,19,34,12,17,79,0.468,57,0.508,22,0.364,32,0.625,24,102,1201,1200,2878,-13,0
0020900295,0,1610612756,PHX,16,3,0.842,21,37,10,14,83,0.446,70,0.472,13,0.308,11,0.909,20,88,1159,1168,1195,-20,0
