game_id,home_flag,team_id,abb,wins,loss,wl%,asts,rebs,orebs,tovs,fga,fg%,2pa,2p%,3pa,3p%,fta,ft%,pfs,pts,ref1,ref2,ref3,net_score,won
0021200233,0,1610612751,BKN,11,5,0.688,20,38,9,18,75,0.44,47,0.575,28,0.214,27,0.63,21,89,1162,101283,200832,-13,0
0021200233,1,1610612748,MIA,12,3,0.8,20,35,8,10,78,0.513,58,0.569,20,0.35,19,0.789,25,102,1162,101283,200832,13,1
0021200234,0,1610612757,POR,4,13,0.235,25,41,12,14,94,0.489,69,0.536,25,0.36,21,0.81,21,118,1201,2530,200834,1,1
0021200234,1,1610612739,CLE,7,10,0.412,32,48,15,16,99,0.434,64,0.468,35,0.371,22,0.818,21,117,1201,2530,200834,-1,0
0021200235,0,1610612755,PHI,8,7,0.533,17,37,11,11,82,0.439,70,0.471,12,0.25,18,0.722,19,88,1176,1188,202041,-5,0
0021200235,1,1610612741,CHI,10,7,0.588,28,50,12,13,81,0.469,74,0.459,7,0.571,21,0.619,16,93,1176,1188,202041,5,1
0021200236,0,1610612760,OKC,4,11,0.267,21,45,11,14,79,0.506,63,0.523,16,0.438,17,0.765,17,100,1153,1151,201245,21,1
0021200236,1,1610612740,NOH,14,4,0.778,18,43,16,15,81,0.37,57,0.421,24,0.25,18,0.722,16,79,1153,1151,201245,-21,0
0021200237,0,1610612762,UTA,8,8,0.5,25,38,12,14,94,0.511,74,0.5,20,0.55,11,0.818,22,116,1164,201640,200833,-8,0
0021200237,1,1610612745,HOU,9,9,0.5,26,38,10,16,83,0.554,61,0.573,22,0.5,26,0.808,17,124,1164,201640,200833,8,1
0021200238,0,1610612738,BOS,8,7,0.533,26,43,11,16,82,0.415,63,0.445,19,0.316,17,0.824,19,88,1830,1363,201637,-3,0
0021200238,1,1610612749,MIL,9,8,0.529,24,42,9,14,79,0.456,66,0.485,13,0.308,20,0.75,13,91,1830,1363,201637,3,1
0021200239,0,1610612763,MEM,12,3,0.8,25,52,18,19,99,0.364,84,0.381,15,0.267,22,0.864,24,95,1152,2148,2882,-4,0
0021200239,1,1610612759,SAS,14,4,0.778,21,48,13,16,89,0.416,60,0.501,29,0.241,24,0.75,22,99,1152,2148,2882,4,1
0021200240,0,1610612765,DET,8,9,0.471,16,52,15,15,85,0.341,64,0.375,21,0.238,18,0.778,15,77,1199,2529,2532,-15,0
0021200240,1,1610612742,DAL,5,13,0.278,28,49,13,13,93,0.409,68,0.398,25,0.44,8,0.625,18,92,1199,2529,2532,15,1
0021200241,0,1610612758,SAC,10,6,0.625,23,40,10,17,76,0.382,53,0.378,23,0.391,18,0.778,19,81,1662,2715,202053,-35,0
0021200241,1,1610612746,LAC,4,12,0.25,27,41,8,5,86,0.547,62,0.565,24,0.5,16,0.625,15,116,1662,2715,202053,35,1
0021200242,0,1610612754,IND,10,6,0.625,20,36,8,16,74,0.459,52,0.499,22,0.364,20,0.8,19,92,1142,1174,202026,-11,0
0021200242,1,1610612744,GSW,8,9,0.471,22,41,11,17,80,0.475,60,0.483,20,0.45,19,0.947,22,103,1142,1174,202026,11,1
0021200243,0,1610612756,PHX,12,4,0.75,21,45,11,17,80,0.487,57,0.543,23,0.348,19,0.684,23,99,1179,2004,101284,-7,0
0021200243,1,1610612752,NYK,7,11,0.389,21,43,16,7,90,0.444,61,0.458,29,0.414,17,0.824,13,106,1179,2004,101284,7,1
0021200244,0,1610612753,ORL,8,9,0.471,34,44,5,12,86,0.5,63,0.555,23,0.348,20,0.95,28,113,2001,1204,1198,10,1
0021200244,1,1610612747,LAL,6,10,0.375,20,46,12,11,86,0.419,69,0.435,17,0.353,39,0.641,16,103,2001,1204,1198,-10,0
0021200245,0,1610612757,POR,8,10,0.444,28,48,13,13,92,0.467,57,0.543,35,0.343,26,0.769,20,118,1146,1193,202027,6,1
0021200245,1,1610612766,CHA,7,9,0.438,28,41,9,15,88,0.466,61,0.459,27,0.481,22,0.773,19,112,1146,1193,202027,-6,0
0021200246,0,1610612739,CLE,6,13,0.316,19,53,20,11,95,0.337,75,0.387,20,0.15,17,0.706,20,79,1179,1151,202012,-10,0
0021200246,1,1610612765,DET,4,14,0.222,21,49,15,11,84,0.429,66,0.485,18,0.222,19,0.684,16,89,1179,1151,202012,10,1
0021200247,0,1610612749,MIL,8,8,0.5,20,40,19,16,76,0.382,57,0.369,19,0.421,23,0.652,16,81,1164,201640,201639,-21,0
0021200247,1,1610612740,NOH,5,11,0.312,29,37,13,8,82,0.524,70,0.542,12,0.417,11,1.0,23,102,1164,201640,201639,21,1
0021200248,0,1610612761,TOR,9,9,0.5,19,37,9,16,86,0.488,58,0.569,28,0.321,19,0.895,30,110,1148,2716,2882,-3,0
0021200248,1,1610612743,DEN,4,14,0.222,25,53,23,17,85,0.471,70,0.486,15,0.4,43,0.628,20,113,1148,2716,2882,3,1
0021200249,0,1610612746,LAC,11,6,0.647,19,36,13,10,89,0.472,68,0.559,21,0.19,24,0.708,14,105,1142,1159,1174,1,1
0021200249,1,1610612762,UTA,9,10,0.474,25,41,9,17,74,0.568,54,0.612,20,0.45,15,0.733,26,104,1142,1159,1174,-1,0
0021200250,0,1610612753,ORL,10,7,0.588,29,43,11,8,92,0.435,69,0.464,23,0.348,16,0.875,19,102,1662,2715,203207,8,1
0021200250,1,1610612744,GSW,7,10,0.412,23,43,9,13,81,0.457,64,0.469,17,0.412,18,0.722,20,94,1662,2715,203207,-8,0
0021200251,0,1610612750,MIN,8,8,0.5,28,47,7,15,77,0.532,52,0.538,25,0.52,17,0.588,18,105,1162,1201,202000,17,1
0021200251,1,1610612755,PHI,10,8,0.556,24,40,13,13,83,0.422,63,0.477,20,0.25,23,0.565,15,88,1162,1201,202000,-17,0
0021200252,0,1610612748,MIA,2,13,0.133,27,43,12,12,89,0.461,61,0.541,28,0.286,16,0.688,20,101,1830,2003,201638,-4,0
0021200252,1,1610612764,WAS,12,4,0.75,31,44,8,10,79,0.481,60,0.517,19,0.368,29,0.759,14,105,1830,2003,201638,4,1
0021200253,0,1610612760,OKC,11,6,0.647,22,33,2,12,66,0.606,52,0.635,14,0.5,34,0.882,19,117,2530,101284,201637,6,1
0021200253,1,1610612751,BKN,15,4,0.789,22,40,16,12,91,0.429,57,0.439,34,0.412,23,0.826,25,111,2530,101284,201637,-6,0
0021200254,0,1610612754,IND,8,8,0.5,17,46,16,12,80,0.362,70,0.385,10,0.2,27,0.741,21,80,1192,2529,200834,4,1
0021200254,1,1610612741,CHI,9,9,0.5,18,46,13,19,73,0.384,61,0.394,12,0.333,20,0.8,21,76,1192,2529,200834,-4,0
0021200255,0,1610612756,PHX,13,3,0.812,22,32,9,16,82,0.463,68,0.47,14,0.429,22,0.727,26,98,1164,2002,202053,-10,0
0021200255,1,1610612763,MEM,7,12,0.368,13,50,15,19,85,0.471,66,0.546,19,0.211,31,0.774,22,108,1164,2002,202053,10,1
0021200256,0,1610612747,LAL,9,8,0.529,16,53,15,18,83,0.458,62,0.5,21,0.333,34,0.647,25,105,1153,2148,2534,-2,0
0021200256,1,1610612745,HOU,8,10,0.444,22,50,21,10,101,0.376,67,0.462,34,0.206,31,0.774,28,107,1153,2148,2534,2,1
0021200257,0,1610612752,NYK,7,10,0.412,23,36,10,8,92,0.424,51,0.51,41,0.317,13,0.692,18,100,1176,101283,200832,2,1
0021200257,1,1610612766,CHA,13,4,0.765,26,50,12,12,83,0.47,67,0.478,16,0.438,15,0.867,14,98,1176,101283,200832,-2,0
0021200258,0,1610612757,POR,10,9,0.526,18,37,9,10,79,0.43,57,0.491,22,0.273,22,0.818,15,92,1151,1830,202012,-7,0
