season,team_id,wins,losses,wl%,asts,rebs,orebs,tovs,fga,fg%,2pa,2p%,3pa,3p%,fta,ft%,pfs,pts
2017-18,1610612741,27,55,0.329,23,44,9,14,88,0.435,57,0.479,31,0.355,19,0.759,19,102
2017-18,1610612742,24,58,0.293,22,41,8,12,85,0.444,53,0.495,32,0.36,18,0.763,19,102
2017-18,1610612743,46,36,0.561,25,44,11,15,86,0.47,56,0.523,30,0.371,22,0.767,18,110
2017-18,1610612744,58,24,0.707,29,43,8,15,85,0.503,57,0.558,28,0.391,20,0.815,19,113
2017-18,1610612745,65,17,0.793,21,43,9,13,84,0.46,42,0.558,42,0.362,25,0.781,19,112
2017-18,1610612746,42,40,0.512,22,43,10,14,85,0.471,59,0.523,26,0.354,25,0.743,20,109
2017-18,1610612747,35,47,0.427,23,46,10,15,88,0.461,59,0.518,29,0.345,23,0.714,21,108
2017-18,1610612748,44,38,0.537,22,43,9,14,85,0.455,55,0.507,30,0.36,19,0.755,20,103
2017-18,1610612749,44,38,0.537,23,39,8,13,83,0.478,59,0.528,24,0.355,23,0.783,21,106
2017-18,1610612750,47,35,0.573,22,42,10,12,86,0.476,64,0.517,22,0.357,24,0.804,18,109
2017-18,1610612751,28,54,0.341,23,44,9,15,86,0.441,51,0.499,35,0.356,22,0.772,20,106
2017-18,1610612752,29,53,0.354,23,44,10,14,87,0.464,64,0.504,23,0.352,19,0.787,20,104
2017-18,1610612753,25,57,0.305,23,41,8,14,85,0.452,56,0.504,29,0.351,20,0.757,19,103
2017-18,1610612754,48,34,0.585,22,42,9,13,86,0.472,62,0.512,24,0.369,19,0.779,18,105
2017-18,1610612755,52,30,0.634,27,47,10,16,86,0.472,57,0.524,29,0.369,22,0.752,22,109
2017-18,1610612756,21,61,0.256,21,44,10,15,87,0.442,60,0.491,27,0.334,23,0.741,22,103
2017-18,1610612757,49,33,0.598,19,45,10,13,87,0.452,59,0.493,28,0.366,20,0.8,19,105
