season,team_id,wins,losses,wl%,asts,rebs,orebs,tovs,fga,fg%,2pa,2p%,3pa,3p%,fta,ft%,pfs,pts
2011-12,1610612741,50,16,0.758,23,46,13,14,82,0.452,66,0.471,16,0.375,21,0.722,17,96
2011-12,1610612742,36,30,0.545,20,42,10,14,82,0.443,60,0.481,22,0.339,20,0.771,18,95
2011-12,1610612743,38,28,0.576,24,43,11,15,81,0.476,62,0.52,19,0.332,26,0.735,19,104
2011-12,1610612744,23,43,0.348,22,39,9,13,82,0.457,62,0.479,20,0.388,18,0.77,21,97
2011-12,1610612745,34,32,0.515,21,42,11,14,84,0.449,64,0.477,20,0.359,19,0.782,20,98
2011-12,1610612746,40,26,0.606,21,41,12,13,81,0.455,60,0.489,21,0.357,23,0.68,21,97
2011-12,1610612747,41,25,0.621,22,46,12,15,80,0.457,64,0.49,16,0.326,24,0.756,16,97
2011-12,1610612748,46,20,0.697,20,41,10,15,79,0.469,64,0.495,15,0.359,24,0.775,19,98
2011-12,1610612749,31,35,0.47,23,42,12,14,85,0.443,66,0.471,19,0.345,21,0.774,19,99
2011-12,1610612750,26,40,0.394,19,43,12,15,82,0.433,61,0.468,21,0.332,25,0.771,18,97
2011-12,1610612751,22,44,0.333,19,40,11,15,80,0.425,58,0.456,22,0.342,21,0.777,19,93
2011-12,1610612752,36,30,0.545,20,41,11,16,80,0.443,57,0.486,23,0.336,24,0.741,21,97
2011-12,1610612753,37,29,0.561,20,42,11,14,78,0.441,51,0.476,27,0.375,22,0.66,17,94
2011-12,1610612754,42,24,0.636,18,43,12,14,81,0.438,65,0.455,16,0.368,26,0.782,21,97
2011-12,1610612755,35,31,0.53,22,43,10,11,83,0.448,69,0.465,14,0.362,18,0.742,17,93
2011-12,1610612756,33,33,0.5,22,41,10,14,82,0.458,63,0.493,19,0.343,21,0.757,18,98
2011-12,1610612757,28,38,0.424,20,40,11,14,82,0.443,62,0.474,20,0.346,21,0.796,19,97
2011-12,1610612758,22,44,0.333,19,42,13,14,86,0.436,67,0.47,19,0.316,23,0.736,19,98
2011-12,1610612759,50,16,0.758,23,43,10,13,82,0.478,61,0.507,21,0.393,21,0.748,17,103
2011-12,1610612760,47,19,0.712,18,43,11,16,79,0.471,59,0.509,20,0.358,26,0.806,20,103
2011-12,1610612761,23,43,0.348,20,42,10,15,78,0.44,62,0.466,16,0.34,21,0.77,23,90
2011-12,1610612762,36,30,0.545,21,44,13,14,83,0.456,71,0.478,12,0.323,25,0.754,21,99
2011-12,1610612763,41,25,0.621,19,42,12,14,82,0.447,70,0.468,12,0.326,22,0.759,19,95
2011-12,1610612764,20,46,0.303,19,41,11,15,83,0.441,67,0.47,16,0.32,21,0.727,21,93
2011-12,1610612765,25,41,0.379,18,40,11,15,79,0.438,66,0.456,13,0.346,22,0.752,19,90
2011-12,1610612766,7,59,0.106,20,39,10,14,80,0.414,67,0.437,13,0.295,22,0.746,18,87
2012-13,1610612737,44,38,0.537,24,40,9,14,81,0.464,58,0.501,23,0.371,19,0.715,18,98
2012-13,1610612738,41,40,0.506,22,39,8,14,79,0.465,62,0.494,17,0.358,21,0.776,21,96
2012-13,1610612739,24,58,0.293,20,41,12,14,84,0.434,65,0.46,19,0.346,22,0.756,21,96
