game_id,home_flag,team_id,abb,wins,loss,wl%,asts,rebs,orebs,tovs,fga,fg%,2pa,2p%,3pa,3p%,fta,ft%,pfs,pts,ref1,ref2,ref3,net_score,won
0021100057,0,1610612738,BOS,2,3,0.4,26,41,8,16,74,0.5,62,0.516,12,0.417,23,0.652,20,94,1194,200833,202058,8,1
0021100057,1,1610612764,WAS,0,4,0.0,15,39,10,14,78,0.41,62,0.484,16,0.125,23,0.87,21,86,1194,200833,202058,-8,0
0021100058,0,1610612761,TOR,4,1,0.8,23,33,5,11,70,0.457,57,0.473,13,0.385,29,0.931,27,96,1176,1188,202053,-6,0
0021100058,1,1610612753,ORL,1,3,0.25,20,33,8,12,75,0.493,48,0.521,27,0.444,24,0.667,22,102,1176,1188,202053,6,1
0021100059,0,1610612766,CHA,1,3,0.25,20,40,11,16,92,0.38,74,0.391,18,0.333,21,0.667,20,90,1174,1363,202007,-39,0
0021100059,1,1610612748,MIA,5,0,1.0,33,47,5,15,80,0.6,69,0.594,11,0.636,31,0.839,18,129,1174,1363,202007,39,1
0021100060,0,1610612751,NJN,2,2,0.5,16,32,8,21,71,0.38,49,0.408,22,0.318,28,0.75,16,82,1168,1204,200834,-16,0
0021100060,1,1610612739,CLE,1,4,0.2,24,36,10,20,78,0.487,52,0.423,26,0.615,11,0.545,26,98,1168,1204,200834,16,1
0021100061,0,1610612742,DAL,1,4,0.2,17,35,6,17,77,0.377,53,0.415,24,0.292,21,0.81,22,82,1146,2714,201246,-17,0
0021100061,1,1610612750,MIN,1,3,0.25,15,54,17,16,85,0.424,63,0.413,22,0.455,24,0.708,17,99,1146,2714,201246,17,1
0021100062,0,1610612763,MEM,4,1,0.8,13,40,14,16,84,0.31,75,0.334,9,0.111,14,0.786,18,64,1195,2532,1185,-40,0
0021100062,1,1610612741,CHI,1,3,0.25,24,55,17,14,84,0.464,71,0.478,13,0.385,29,0.724,15,104,1195,2532,1185,40,1
0021100063,0,1610612747,LAL,3,2,0.6,19,44,12,15,88,0.398,65,0.477,23,0.174,24,0.667,28,90,1201,1662,2878,-9,0
0021100063,1,1610612743,DEN,3,3,0.5,21,44,5,15,71,0.465,53,0.585,18,0.111,37,0.838,18,99,1201,1662,2878,9,1
0021100064,0,1610612740,NOH,2,3,0.4,24,60,22,19,89,0.404,74,0.486,15,0.0,16,0.5,18,80,1830,2005,201245,-16,0
0021100064,1,1610612758,SAC,2,2,0.5,16,41,12,10,85,0.412,62,0.436,23,0.348,21,0.857,15,96,1830,2005,201245,16,1
0021100065,0,1610612757,POR,2,2,0.5,20,46,13,21,78,0.423,63,0.46,15,0.267,22,0.818,24,88,1199,101283,101284,-5,0
0021100065,1,1610612746,LAC,3,1,0.75,25,38,8,21,75,0.48,51,0.588,24,0.25,24,0.625,18,93,1199,101283,101284,5,1
0021100066,0,1610612744,GSW,2,3,0.4,27,36,7,17,72,0.5,55,0.527,17,0.412,20,0.6,24,91,1179,201640,202027,-11,0
0021100066,1,1610612756,PHX,2,3,0.4,23,49,16,11,87,0.448,64,0.484,23,0.348,21,0.762,18,102,1179,201640,202027,11,1
0021100067,0,1610612764,WAS,3,3,0.5,14,42,13,11,83,0.422,72,0.445,11,0.273,23,0.826,17,92,2534,1200,2532,-8,0
0021100067,1,1610612738,BOS,0,5,0.0,28,43,12,15,83,0.458,63,0.445,20,0.5,21,0.667,23,100,2534,1200,2532,8,1
0021100068,0,1610612754,IND,4,1,0.8,26,42,14,15,78,0.526,57,0.492,21,0.619,18,0.722,23,108,1164,200833,202026,14,1
0021100068,1,1610612751,NJN,1,5,0.167,15,40,20,10,89,0.371,61,0.427,28,0.25,26,0.808,16,94,1164,200833,202026,-14,0
0021100069,0,1610612761,TOR,2,3,0.4,21,44,4,18,68,0.441,51,0.451,17,0.412,29,0.793,30,90,1162,2882,202058,5,1
0021100069,1,1610612752,NYK,2,3,0.4,14,39,6,11,78,0.359,43,0.418,35,0.286,25,0.76,24,85,1162,2882,202058,-5,0
0021100070,0,1610612737,ATL,5,1,0.833,19,40,10,10,82,0.476,66,0.455,16,0.563,20,0.65,21,100,2529,1153,1198,8,1
0021100070,1,1610612748,MIA,4,1,0.8,23,40,9,16,73,0.466,60,0.484,13,0.385,28,0.679,15,92,2529,1153,1198,-8,0
0021100071,0,1610612753,ORL,4,2,0.667,20,28,7,17,63,0.444,41,0.487,22,0.364,21,0.667,24,78,1146,1168,1159,-11,0
0021100071,1,1610612765,DET,2,3,0.4,19,39,11,17,62,0.5,54,0.537,8,0.25,33,0.758,19,89,1146,1168,1159,11,1
0021100072,0,1610612759,SAS,2,3,0.4,26,30,9,9,82,0.439,62,0.468,20,0.35,21,0.81,15,96,1193,1204,1142,-10,0
0021100072,1,1610612750,MIN,3,2,0.6,18,38,7,19,71,0.577,50,0.58,21,0.571,15,0.8,18,106,1193,1204,1142,10,1
0021100073,0,1610612760,OKC,2,4,0.333,12,41,12,13,77,0.403,58,0.449,19,0.263,26,0.769,17,87,1148,2002,201638,-13,0
0021100073,1,1610612742,DAL,5,1,0.833,21,41,11,12,80,0.487,64,0.53,16,0.313,20,0.85,23,100,1148,2002,201638,13,1
0021100074,0,1610612749,MIL,4,2,0.667,19,38,9,14,88,0.42,69,0.463,19,0.263,11,0.636,20,86,1147,2004,2716,-5,0
0021100074,1,1610612743,DEN,2,2,0.5,22,49,13,16,83,0.398,64,0.454,19,0.211,27,0.778,15,91,1147,2004,2716,5,1
0021100075,0,1610612740,NOH,2,3,0.4,22,37,7,15,74,0.5,64,0.531,10,0.3,16,0.813,24,90,2003,1190,201637,-4,0
0021100075,1,1610612762,UTA,2,3,0.4,20,36,9,12,76,0.487,61,0.525,15,0.333,23,0.652,18,94,2003,1190,201637,4,1
0021100076,0,1610612766,CHA,1,4,0.2,20,46,10,13,90,0.444,76,0.473,14,0.286,19,0.895,22,101,1152,1664,201246,-14,0
0021100076,1,1610612739,CLE,3,2,0.6,25,41,9,9,90,0.5,69,0.507,21,0.476,26,0.577,19,115,1152,1664,201246,14,1
0021100077,0,1610612737,ATL,5,1,0.833,19,44,10,12,80,0.35,65,0.369,15,0.267,25,0.56,17,74,2001,2714,200832,-2,0
0021100077,1,1610612741,CHI,4,2,0.667,16,47,11,14,77,0.338,60,0.367,17,0.235,26,0.769,21,76,2001,2714,200832,2,1
