game_id,home_flag,team_id,abb,wins,loss,wl%,asts,rebs,orebs,tovs,fga,fg%,2pa,2p%,3pa,3p%,fta,ft%,pfs,pts,ref1,ref2,ref3,net_score,won
0021800330,0,1610612749,MIL,15,7,0.682,28,51,10,16,94,0.489,52,0.537,42,0.429,31,0.774,25,134,1155,2001,2005,-2,0
0021800330,1,1610612752,NYK,8,16,0.333,30,41,6,16,96,0.531,62,0.5,34,0.588,21,0.667,23,136,1155,2001,2005,2,1
0021800331,0,1610612744,GSW,15,9,0.625,23,44,8,14,85,0.459,59,0.559,26,0.231,21,0.857,22,102,2004,200834,201637,-9,0
0021800331,1,1610612765,DET,13,7,0.65,22,47,14,11,98,0.439,63,0.492,35,0.343,20,0.65,21,111,2004,200834,201637,9,1
0021800332,0,1610612761,TOR,4,18,0.182,15,42,6,10,80,0.487,54,0.592,26,0.269,25,0.84,19,106,202007,202037,202058,11,1
0021800332,1,1610612739,CLE,20,4,0.833,14,44,11,11,88,0.386,66,0.439,22,0.227,25,0.88,23,95,202007,202037,202058,-11,0
0021800333,0,1610612751,BKN,8,16,0.333,19,42,11,17,81,0.37,48,0.458,33,0.242,25,0.8,17,88,1164,2530,1627961,-14,0
0021800333,1,1610612764,WAS,9,14,0.391,19,38,2,13,79,0.519,53,0.623,26,0.308,18,0.667,21,102,1164,2530,1627961,14,1
0021800334,0,1610612741,CHI,5,19,0.208,15,41,7,13,88,0.443,56,0.553,32,0.25,24,0.792,22,105,1204,201639,202026,-16,0
0021800334,1,1610612745,HOU,11,11,0.5,23,47,6,14,84,0.5,43,0.605,41,0.39,30,0.7,21,121,1204,201639,202026,16,1
0021800335,0,1610612738,BOS,11,12,0.478,30,40,7,14,85,0.471,41,0.562,44,0.386,21,1.0,25,118,1151,203592,1626301,9,1
0021800335,1,1610612750,MIN,13,10,0.565,19,39,9,16,82,0.451,54,0.518,28,0.321,32,0.813,18,109,1151,203592,1626301,-9,0
0021800336,0,1610612754,IND,11,11,0.5,32,42,6,25,82,0.524,58,0.568,24,0.417,18,0.778,26,110,1162,202049,1627964,-1,0
0021800336,1,1610612758,SAC,13,10,0.565,25,46,14,20,91,0.451,62,0.452,29,0.448,24,0.667,16,111,1162,202049,1627964,1,1
0021800337,0,1610612756,PHX,14,9,0.609,24,40,7,15,93,0.398,60,0.4,33,0.394,11,0.818,22,96,2714,201246,1626302,-24,0
0021800337,1,1610612747,LAL,4,19,0.174,26,56,11,19,92,0.5,65,0.539,27,0.407,23,0.739,15,120,2714,201246,1626302,24,1
0021800338,0,1610612740,NOP,12,12,0.5,30,50,9,17,86,0.512,54,0.612,32,0.344,24,0.833,25,119,1199,1201,202027,10,1
0021800338,1,1610612766,CHA,11,12,0.478,25,41,11,11,91,0.429,55,0.528,36,0.278,28,0.75,19,109,1199,1201,202027,-10,0
0021800339,0,1610612762,UTA,9,13,0.409,21,50,10,13,89,0.438,56,0.5,33,0.333,15,0.733,18,100,1174,202041,203593,-2,0
0021800339,1,1610612748,MIA,11,13,0.458,20,50,14,13,91,0.396,60,0.384,31,0.419,24,0.708,16,102,1174,202041,203593,2,1
0021800340,0,1610612763,MEM,13,9,0.591,19,35,3,14,79,0.418,51,0.432,28,0.393,23,0.783,24,95,1188,2530,101283,-8,0
0021800340,1,1610612755,PHI,17,8,0.68,22,44,3,16,74,0.486,52,0.538,22,0.364,30,0.767,20,103,1188,2530,101283,8,1
0021800341,0,1610612746,LAC,11,10,0.524,23,44,8,10,95,0.442,71,0.465,24,0.375,22,0.773,22,110,1148,2148,200832,-4,0
0021800341,1,1610612742,DAL,15,7,0.682,20,64,17,16,95,0.442,72,0.472,23,0.348,26,0.846,21,114,1148,2148,200832,4,1
0021800342,0,1610612757,POR,13,10,0.565,25,35,9,17,86,0.523,57,0.578,29,0.414,16,1.0,21,118,1193,1830,2002,-13,0
0021800342,1,1610612759,SAS,11,12,0.478,29,34,5,12,83,0.602,68,0.573,15,0.733,22,0.909,15,131,1193,1830,2002,13,1
0021800343,0,1610612760,OKC,13,8,0.619,23,52,6,17,85,0.506,60,0.6,25,0.28,20,0.85,24,110,1146,204058,1627963,27,1
0021800343,1,1610612765,DET,15,7,0.682,16,41,9,15,94,0.33,62,0.403,32,0.188,19,0.789,18,83,1146,204058,1627963,-27,0
0021800344,0,1610612744,GSW,5,19,0.208,33,39,6,20,82,0.585,58,0.603,24,0.542,22,0.864,24,128,1147,1164,202901,17,1
0021800344,1,1610612737,ATL,16,9,0.64,23,35,9,18,90,0.489,64,0.61,26,0.192,24,0.75,21,111,1147,1164,202901,-17,0
0021800345,0,1610612739,CLE,8,17,0.32,15,55,14,9,88,0.432,73,0.466,15,0.267,20,0.95,17,99,1198,2001,1628159,2,1
0021800345,1,1610612751,BKN,5,18,0.217,17,50,17,7,99,0.394,59,0.492,40,0.25,16,0.563,20,97,1198,2001,1628159,-2,0
0021800346,0,1610612764,WAS,8,17,0.32,30,38,8,10,92,0.478,60,0.516,32,0.406,12,0.75,24,110,1151,2004,1628172,3,1
