game_id,home_flag,team_id,abb,wins,loss,wl%,asts,rebs,orebs,tovs,fga,fg%,2pa,2p%,3pa,3p%,fta,ft%,pfs,pts,ref1,ref2,ref3,net_score,won
0021500262,0,1610612764,WAS,13,5,0.722,23,39,2,12,83,0.47,55,0.582,28,0.25,16,0.75,23,97,1195,201638,203593,12,1
0021500262,1,1610612739,CLE,7,8,0.467,15,47,10,18,83,0.337,53,0.358,30,0.3,23,0.87,18,85,1195,201638,203593,-12,0
0021500263,0,1610612747,LAL,1,18,0.053,15,46,12,11,89,0.371,55,0.455,34,0.235,24,0.708,19,91,1198,101284,200833,-12,0
0021500263,1,1610612755,PHI,2,15,0.118,28,47,10,15,79,0.468,47,0.488,32,0.438,23,0.652,18,103,1198,101284,200833,12,1
0021500264,0,1610612756,PHX,5,13,0.278,20,39,4,16,75,0.44,47,0.489,28,0.357,22,0.682,13,91,2715,200834,202027,-3,0
0021500264,1,1610612751,BKN,8,10,0.444,23,42,6,15,84,0.488,71,0.521,13,0.308,12,0.667,19,94,2715,200834,202027,3,1
0021500265,0,1610612753,ORL,8,10,0.444,19,44,11,13,86,0.442,69,0.478,17,0.294,20,0.75,30,96,2002,1179,203177,3,1
0021500265,1,1610612750,MIN,10,8,0.556,14,46,12,13,77,0.377,58,0.431,19,0.211,38,0.816,20,93,2002,1179,203177,-3,0
0021500266,0,1610612763,MEM,11,8,0.579,21,49,13,6,90,0.478,80,0.513,10,0.2,26,0.962,23,113,2530,202058,203591,9,1
0021500266,1,1610612740,NOP,4,14,0.222,25,37,9,8,81,0.432,54,0.481,27,0.333,33,0.758,21,104,2530,202058,203591,-9,0
0021500267,0,1610612742,DAL,7,12,0.368,23,49,12,12,94,0.457,65,0.523,29,0.31,24,0.833,17,115,1174,1193,201245,3,1
0021500267,1,1610612757,POR,11,8,0.579,24,50,13,15,100,0.41,60,0.433,40,0.375,17,0.882,23,112,1174,1193,201245,-3,0
0021500268,0,1610612744,GSW,20,0,1.0,31,53,11,18,88,0.523,54,0.556,34,0.471,11,0.727,23,116,1188,2882,203592,17,1
0021500268,1,1610612766,CHA,10,8,0.556,19,41,13,8,94,0.372,63,0.412,31,0.29,30,0.667,13,99,1188,2882,203592,-17,0
0021500269,0,1610612747,LAL,3,15,0.167,17,45,16,16,96,0.427,71,0.465,25,0.32,20,0.9,22,108,1168,2529,202026,4,1
0021500269,1,1610612764,WAS,7,9,0.438,24,41,8,23,79,0.468,58,0.517,21,0.333,31,0.742,15,104,1168,2529,202026,-4,0
0021500270,0,1610612756,PHX,8,11,0.421,28,36,10,15,97,0.485,64,0.516,33,0.424,15,0.933,33,122,2002,2004,203593,-5,0
0021500270,1,1610612765,DET,10,9,0.526,24,50,13,18,87,0.506,60,0.534,27,0.444,44,0.614,20,127,2002,2004,203593,5,1
0021500271,0,1610612755,PHI,9,10,0.474,11,42,7,13,86,0.372,56,0.411,30,0.3,24,0.583,19,87,1176,1204,2005,-12,0
0021500271,1,1610612752,NYK,1,19,0.05,19,50,8,17,88,0.432,69,0.493,19,0.211,22,0.864,17,99,1176,1204,2005,12,1
0021500272,0,1610612761,TOR,12,9,0.571,12,50,8,12,79,0.456,54,0.556,25,0.24,24,0.75,18,96,1146,1201,202007,10,1
0021500272,1,1610612737,ATL,12,7,0.632,22,43,13,12,90,0.367,63,0.397,27,0.296,16,0.75,20,86,1146,1201,202007,-10,0
0021500273,0,1610612743,DEN,11,5,0.688,26,49,13,7,93,0.387,78,0.397,15,0.333,22,0.591,22,90,2001,201638,203177,-9,0
0021500273,1,1610612741,CHI,6,13,0.316,22,62,15,14,89,0.404,72,0.416,17,0.353,27,0.778,17,99,2001,201638,203177,9,1
0021500274,0,1610612740,NOP,4,15,0.211,20,56,16,23,88,0.409,63,0.46,25,0.28,25,0.88,32,101,1664,101283,202041,-7,0
0021500274,1,1610612745,HOU,8,11,0.421,20,42,9,10,87,0.414,60,0.467,27,0.296,39,0.718,23,108,1664,101283,202041,7,1
0021500275,0,1610612749,MIL,15,4,0.789,17,44,6,16,78,0.333,64,0.359,14,0.214,18,0.833,20,70,1162,201640,202053,-25,0
0021500275,1,1610612759,SAS,7,12,0.368,25,54,11,11,90,0.411,69,0.435,21,0.333,20,0.7,12,95,1162,201640,202053,25,1
0021500276,0,1610612754,IND,10,9,0.526,16,47,9,14,76,0.421,56,0.446,20,0.35,39,0.821,26,103,1147,1151,204059,12,1
0021500276,1,1610612746,LAC,12,5,0.706,19,40,10,15,79,0.38,52,0.462,27,0.222,39,0.641,31,91,1147,1151,204059,-12,0
0021500277,0,1610612760,OKC,11,6,0.647,15,44,9,15,79,0.443,63,0.492,16,0.25,24,0.875,18,95,1152,2714,2532,-2,0
0021500277,1,1610612748,MIA,11,8,0.579,25,35,6,9,81,0.494,68,0.544,13,0.231,24,0.583,14,97,1152,2714,2532,2,1
0021500278,0,1610612743,DEN,7,13,0.35,30,42,6,11,81,0.469,54,0.481,27,0.444,18,1.0,19,106,1198,101284,202027,1,1
0021500278,1,1610612761,TOR,12,8,0.6,21,39,9,4,92,0.424,65,0.477,27,0.296,22,0.864,16,105,1198,101284,202027,-1,0
0021500279,0,1610612753,ORL,8,9,0.471,19,40,9,10,89,0.449,66,0.484,23,0.348,15,1.0,20,103,1194,2148,201246,9,1
0021500279,1,1610612762,UTA,11,8,0.579,18,39,5,19,72,0.431,39,0.437,33,0.424,24,0.75,16,94,1194,2148,201246,-9,0
0021500280,0,1610612759,SAS,16,4,0.8,27,48,10,15,80,0.5,62,0.484,18,0.556,18,0.722,21,103,1164,2715,203592,20,1
0021500280,1,1610612763,MEM,11,9,0.55,19,37,9,11,80,0.375,64,0.438,16,0.125,25,0.84,17,83,1164,2715,203592,-20,0
0021500281,0,1610612754,IND,12,6,0.667,18,41,15,12,88,0.432,58,0.431,30,0.433,24,0.917,17,111,1148,201639,202000,-12,0
0021500281,1,1610612757,POR,8,12,0.4,26,48,15,15,85,0.518,49,0.531,36,0.5,20,0.85,20,123,1148,201639,202000,12,1
0021500282,0,1610612738,BOS,11,8,0.579,34,40,6,16,84,0.476,51,0.51,33,0.424,24,0.833,32,114,1363,1662,202049,17,1
0021500282,1,1610612758,SAC,7,13,0.35,21,46,9,19,77,0.377,56,0.394,21,0.333,41,0.78,20,97,1363,1662,202049,-17,0
0021500283,0,1610612751,BKN,5,14,0.263,15,49,13,13,91,0.429,80,0.45,11,0.273,15,0.667,13,91,1830,2003,203593,-17,0
0021500283,1,1610612752,NYK,10,10,0.5,25,44,8,13,87,0.448,60,0.45,27,0.444,21,0.857,14,108,1830,2003,203593,17,1
0021500284,0,1610612756,PHX,8,12,0.4,21,35,12,20,84,0.512,61,0.541,23,0.435,16,0.625,23,106,1176,202007,202053,-3,0
0021500284,1,1610612764,WAS,8,9,0.471,19,41,15,21,82,0.488,56,0.536,26,0.385,25,0.76,21,109,1176,202007,202053,3,1
0021500285,0,1610612749,MIL,11,9,0.55,21,51,9,14,87,0.448,69,0.507,18,0.222,14,0.929,33,95,1174,1201,2529,-7,0
0021500285,1,1610612765,DET,7,13,0.35,18,46,8,9,82,0.415,59,0.458,23,0.304,39,0.692,11,102,1174,1201,2529,7,1
0021500286,0,1610612747,LAL,13,9,0.591,19,42,15,16,86,0.372,59,0.322,27,0.481,13,0.769,14,87,1204,2530,101283,-13,0
0021500286,1,1610612737,ATL,3,16,0.158,24,43,9,17,74,0.5,48,0.562,26,0.385,20,0.8,11,100,1204,2530,101283,13,1
0021500287,0,1610612745,HOU,11,9,0.55,20,45,15,18,84,0.464,58,0.465,26,0.462,18,0.556,22,100,1199,201638,204058,4,1
0021500287,1,1610612742,DAL,9,11,0.45,23,42,11,17,81,0.457,52,0.558,29,0.276,20,0.7,17,96,1199,201638,204058,-4,0
0021500288,0,1610612739,CLE,13,6,0.684,18,43,12,14,89,0.438,56,0.518,33,0.303,24,0.833,26,108,2001,200832,201640,-6,0
0021500288,1,1610612740,NOP,5,15,0.25,25,46,11,15,85,0.494,60,0.55,25,0.36,31,0.677,25,114,2001,200832,201640,6,1
0021500289,0,1610612743,DEN,8,13,0.381,25,47,13,17,81,0.457,50,0.52,31,0.355,38,0.605,21,108,1147,200834,202041,3,1
0021500289,1,1610612755,PHI,1,20,0.048,22,40,7,20,74,0.5,43,0.512,31,0.484,26,0.615,28,105,1147,200834,202041,-3,0
0021500290,0,1610612744,GSW,21,0,1.0,22,43,8,12,73,0.479,43,0.441,30,0.533,36,0.722,24,112,2534,2714,2715,3,1
0021500290,1,1610612761,TOR,12,9,0.571,21,38,11,6,91,0.44,71,0.451,20,0.4,26,0.808,27,109,2534,2714,2715,-3,0
0021500291,0,1610612739,CLE,13,7,0.65,14,36,11,14,85,0.365,57,0.439,28,0.214,24,0.667,26,84,1662,2882,202053,-15,0
0021500291,1,1610612748,MIA,12,6,0.667,21,41,3,15,68,0.544,52,0.577,16,0.438,29,0.621,25,99,1662,2882,202053,15,1
0021500292,0,1610612766,CHA,11,8,0.579,23,50,13,9,89,0.416,55,0.491,34,0.294,25,0.72,18,102,1195,1193,1198,6,1
0021500292,1,1610612741,CHI,11,6,0.647,29,52,12,14,89,0.416,64,0.438,25,0.36,19,0.684,19,96,1195,1193,1198,-6,0
